source,event,round,player,teamId,hole,shot,shotDistance_yds,distanceToPin_yds,lieAfterShot,commentary,shotDistance_m,distanceToPin_m,lieBeforeShot,ballHoled,holeScore,playerId,lieAfterShotCode,lieBeforeShotCode,eventType,timestamp,isProvisional,isBallDrop,x,z,seqNum
feed,bmw-pga-championship-2026,2,Laurie Canter,49,1,1,269.6,197.6,Rough,"Canter (T104) finds the rough with a 269-yard drive, leaving 197 yards to the hole on his opening hole.",246.48,180.66,,False,,840,ORO,,DetailedLie,2026-09-18T11:22:56.000Z,False,False,667370.1663759642,5697073.283334513,6
feed,bmw-pga-championship-2026,2,Laurie Canter,49,1,2,181.6,17.7,Fringe,"Canter's approach from the rough finds the fringe, leaving 53 feet to the hole.",166.05,16.14,,False,,840,OCO,,DetailedLie,2026-09-18T11:30:01.000Z,False,False,667208.26558216,5697111.698209376,10
feed,bmw-pga-championship-2026,2,Laurie Canter,49,1,3,19.1,1.5,Green,"Canter chips from the fringe to four feet, leaving a putt for par on his opening hole.",17.46,1.35,Fringe,False,,840,OGR,OCO,DetailedLie,2026-09-18T11:31:39.000Z,False,False,667191.2871314021,5697107.483906643,14
feed,bmw-pga-championship-2026,2,Laurie Canter,49,1,4,1.7,0.3,Green,"Canter missed a four-footer for par, leaving 10 inches for bogey and losing 0.81 strokes *putting*.",1.54,0.24,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T11:33:51.000Z,False,False,667192.734165038,5697108.0258584,19
feed,bmw-pga-championship-2026,2,Laurie Canter,49,1,5,0.3,,,"Canter taps in from ten inches to complete a bogey on his opening hole, the first.",0.24,,,True,Bogey,840,,,BallHoled,2026-09-18T11:33:53.000Z,False,False,667192.4971530352,5697108.077157115,22
feed,bmw-pga-championship-2026,2,Laurie Canter,49,2,1,142.7,11.2,Green,Canter (T114) finds the green from 151 yards but leaves a 34-foot birdie putt on the second hole.,130.45,10.25,,False,,840,OGR,OBU,DetailedLie,2026-09-18T11:38:12.000Z,False,False,667186.4798479741,5696983.435133114,32
feed,bmw-pga-championship-2026,2,Laurie Canter,49,2,2,10.4,1.1,Green,"Canter missed a 34-footer for birdie, leaving three feet for par.",9.5,0.96,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T11:41:00.000Z,False,False,667182.2596145029,5696974.918497465,36
feed,bmw-pga-championship-2026,2,Laurie Canter,49,2,3,1.6,0.6,Green,"Canter missed a three-footer for par, leaving a two-foot putt for bogey and losing 0.95 strokes *putting*.",1.48,0.52,Green,False,,840,OGR,OGR,DetailedLie,2026-09-18T11:43:46.000Z,False,False,667180.8956864802,5696974.332627614,40
feed,bmw-pga-championship-2026,2,Laurie Canter,49,2,4,0.6,,,Canter taps in from two feet to complete a bogey on the second.,0.52,,,True,Bogey,840,,,BallHoled,2026-09-18T11:44:07.000Z,False,False,667181.3727573857,5696974.545187275,43
feed,bmw-pga-championship-2026,2,Laurie Canter,49,3,1,273.6,186.1,Fairway,"Canter (T123) finds the fairway with a 273-yard drive, leaving 186 yards to the hole.",250.23,170.14,,False,,840,OFW,,DetailedLie,2026-09-18T11:50:12.000Z,False,False,666943.7421657547,5696859.228939886,49
feed,bmw-pga-championship-2026,2,Laurie Canter,49,3,2,194.1,16.3,Rough,"Canter's approach from 186 yards finds the rough, leaving 16 yards to the hole.",177.47,14.88,,False,,840,ORO,,DetailedLie,2026-09-18T11:55:43.000Z,False,False,666782.7706029271,5696783.742983558,53
feed,bmw-pga-championship-2026,2,Laurie Canter,49,3,3,16.3,1.5,Green,"Canter chips from the rough to four feet, leaving a putt for par on the third.",14.95,1.36,Rough,False,,840,OGR,ORO,DetailedLie,2026-09-18T11:57:38.000Z,False,False,666785.8051278867,5696798.378115462,57
feed,bmw-pga-championship-2026,2,Laurie Canter,49,3,4,1.5,,,Canter sinks a four-footer to save par on the third.,1.36,,,True,Par,840,,,BallHoled,2026-09-18T12:00:23.000Z,False,False,666784.4482875179,5696798.518397193,60
feed,bmw-pga-championship-2026,2,Laurie Canter,49,4,1,323.6,227.9,Fairway,"Canter (T123) finds the fairway with a 323-yard drive, leaving 227 yards to the hole on the par-five fourth.",295.9,208.43,,False,,840,OFW,,DetailedLie,2026-09-18T12:08:20.000Z,False,False,666644.86167694,5696470.397626436,66
feed,bmw-pga-championship-2026,2,Laurie Canter,49,4,2,225.2,13.8,Intermediate Rough,"Canter's approach from 228 yards finds the intermediate rough, leaving 14 yards to the hole.",205.94,12.66,,False,,840,OIR,,DetailedLie,2026-09-18T12:14:49.000Z,False,False,666707.9848699762,5696274.408757051,70
feed,bmw-pga-championship-2026,2,Laurie Canter,49,4,3,14.5,0.7,Green,"Canter chips from the intermediate rough to two feet, leaving a short putt for birdie on the par-five fourth.",13.25,0.64,Intermediate Rough,False,,840,OGR,OIR,DetailedLie,2026-09-18T12:16:41.000Z,False,False,666721.1631570754,5696276.052591408,74
feed,bmw-pga-championship-2026,2,Laurie Canter,49,4,4,0.7,,,Canter taps in from two feet to secure the birdie on the par-five fourth.,0.64,,,True,Birdie,840,,,BallHoled,2026-09-18T12:19:56.000Z,False,False,666720.5403311782,5696276.214628459,77
feed,bmw-pga-championship-2026,2,Laurie Canter,49,5,1,213.2,18.3,Intermediate Rough,"Canter (T113) misses the green from the tee box, finding intermediate rough 18 yards from the hole.",194.91,16.75,,False,,840,OIR,,DetailedLie,2026-09-18T12:26:45.000Z,False,False,666666.8487728212,5696088.315348904,83
feed,bmw-pga-championship-2026,2,Laurie Canter,49,5,2,17.4,0.9,Green,"Canter chips from the intermediate rough to three feet, leaving a short putt for par.",15.96,0.8,Intermediate Rough,False,,840,OGR,OIR,DetailedLie,2026-09-18T12:27:33.000Z,False,False,666681.6448582418,5696082.268221928,87
feed,bmw-pga-championship-2026,2,Laurie Canter,49,5,3,0.9,,,Canter taps in from three feet to save par on the fifth.,0.8,,,True,Par,840,,,BallHoled,2026-09-18T12:32:32.000Z,False,False,666682.3896087265,5696081.9845797,90
