event,round,player,playerId,teamId,hole,shot,shotDistance_yds,distanceToPin_yds,shotDistance_m,distanceToPin_m,lieAfterShot,lieAfterShotCode,lieBeforeShot,lieBeforeShotCode,ballHoled,eventType,holeScore,timestamp,isProvisional,isBallDrop,x,z,seqNum
bmw-pga-championship-2026,1,Laurie Canter,840,49,2,1,153.1,4.4,140.0,4.01,Green,OGR,,OBU,False,DetailedLie,,2026-09-17T09:15:21.000Z,False,False,667189.9181888003,5696973.266426612,285
bmw-pga-championship-2026,1,Laurie Canter,840,49,2,2,4.5,0.6,4.16,0.52,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T09:18:25.000Z,False,False,667192.2802635886,5696976.69332602,289
bmw-pga-championship-2026,1,Laurie Canter,840,49,2,3,0.6,,0.52,,,,,,True,BallHoled,Par,2026-09-17T09:18:31.000Z,False,False,667192.5834464724,5696976.268785012,292
bmw-pga-championship-2026,1,Laurie Canter,840,49,3,1,272.0,182.7,248.69,167.09,Fairway,OFW,,,False,DetailedLie,,2026-09-17T09:23:55.000Z,False,False,666938.9102536098,5696867.234274772,298
bmw-pga-championship-2026,1,Laurie Canter,840,49,3,2,163.1,29.3,149.11,26.78,,OIR,,,False,DetailedLie,,2026-09-17T09:27:46.000Z,False,False,666799.076676778,5696814.607767078,302
bmw-pga-championship-2026,1,Laurie Canter,840,49,3,3,29.4,0.8,26.85,0.71,Green,OGR,,OIR,False,DetailedLie,,2026-09-17T09:34:42.000Z,False,False,666791.5272963297,5696788.843700117,307
bmw-pga-championship-2026,1,Laurie Canter,840,49,3,4,0.8,,0.71,,,,,,True,BallHoled,Par,2026-09-17T09:34:54.000Z,False,False,666790.8704682505,5696789.120692467,310
bmw-pga-championship-2026,1,Laurie Canter,840,49,4,1,308.8,244.5,282.36,223.59,Fairway,OFW,,,False,DetailedLie,,2026-09-17T09:41:42.000Z,False,False,666650.398377558,5696481.177266991,316
bmw-pga-championship-2026,1,Laurie Canter,840,49,4,2,229.1,23.0,209.5,21.06,,OGS,,,False,DetailedLie,,2026-09-17T09:46:41.000Z,False,False,666694.725797189,5696276.484901052,320
bmw-pga-championship-2026,1,Laurie Canter,840,49,4,3,29.4,6.4,26.9,5.84,,OCO,,,False,DetailedLie,,2026-09-17T09:49:06.000Z,False,False,666718.7190568586,5696264.226454729,324
bmw-pga-championship-2026,1,Laurie Canter,840,49,4,4,6.8,0.4,6.23,0.4,Green,OGR,,OCO,False,DetailedLie,,2026-09-17T09:52:01.000Z,False,False,666713.0262597468,5696266.783243999,328
bmw-pga-championship-2026,1,Laurie Canter,840,49,4,5,0.4,,0.4,,,,,,True,BallHoled,Par,2026-09-17T09:52:05.000Z,False,False,666713.4177679333,5696266.702670498,331
bmw-pga-championship-2026,1,Laurie Canter,840,49,5,1,209.3,3.8,191.41,3.47,Green,OGR,,OBU,False,DetailedLie,,2026-09-17T09:57:45.000Z,False,False,666676.2895770499,5696090.564582635,337
bmw-pga-championship-2026,1,Laurie Canter,840,49,5,2,4.2,0.5,3.88,0.44,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T10:01:52.000Z,False,False,666673.7422338639,5696093.4948229715,341
bmw-pga-championship-2026,1,Laurie Canter,840,49,5,3,0.5,,0.44,,,,,,True,BallHoled,Par,2026-09-17T10:02:00.000Z,False,False,666674.1206216931,5696093.271416279,344
bmw-pga-championship-2026,1,Laurie Canter,840,49,6,1,244.7,169.2,223.75,154.73,Fairway,OFW,,,False,DetailedLie,,2026-09-17T10:08:45.000Z,False,False,666554.6497884423,5696088.4925448205,350
bmw-pga-championship-2026,1,Laurie Canter,840,49,6,2,168.2,10.1,153.82,9.23,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-17T10:18:31.000Z,False,False,666405.4430427223,5696127.162259162,354
bmw-pga-championship-2026,1,Laurie Canter,840,49,6,3,9.9,0.2,9.1,0.14,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T10:19:03.000Z,False,False,666402.5491575925,5696118.540404955,358
bmw-pga-championship-2026,1,Laurie Canter,840,49,6,4,0.2,,0.14,,,,,,True,BallHoled,Par,2026-09-17T10:19:11.000Z,False,False,666402.5066485547,5696118.409277614,361
bmw-pga-championship-2026,1,Laurie Canter,840,49,7,1,257.4,134.9,235.37,123.35,,ORO,,,False,DetailedLie,,2026-09-17T10:29:32.000Z,False,False,666330.0200121338,5695945.681779042,367
bmw-pga-championship-2026,1,Laurie Canter,840,49,7,2,125.5,19.5,114.75,17.84,Green,OGR,,ORO,False,DetailedLie,,2026-09-17T10:37:14.000Z,False,False,666301.6703121965,5695834.507415633,371
bmw-pga-championship-2026,1,Laurie Canter,840,49,7,3,18.9,1.0,17.3,0.92,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T10:37:55.000Z,False,False,666284.7833896907,5695830.560620327,375
bmw-pga-championship-2026,1,Laurie Canter,840,49,7,4,1.0,,0.92,,,,,,True,BallHoled,Par,2026-09-17T10:38:13.000Z,False,False,666284.1043267715,5695831.189628793,378
bmw-pga-championship-2026,1,Laurie Canter,840,49,8,1,274.2,121.3,250.75,110.9,,ORO,,,False,DetailedLie,,2026-09-17T10:44:58.000Z,False,False,666447.4041588213,5695708.431718071,384
bmw-pga-championship-2026,1,Laurie Canter,840,49,8,2,124.5,9.4,113.85,8.56,Green,OGR,,ORO,False,DetailedLie,,2026-09-17T10:48:07.000Z,False,False,666561.480176592,5695710.906712881,388
bmw-pga-championship-2026,1,Laurie Canter,840,49,8,3,9.2,0.3,8.44,0.29,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T10:51:18.000Z,False,False,666558.2083716949,5695703.1307689175,392
bmw-pga-championship-2026,1,Laurie Canter,840,49,8,4,0.3,,0.29,,,,,,True,BallHoled,Par,2026-09-17T10:54:37.000Z,False,False,666558.4137985785,5695702.919111176,395
bmw-pga-championship-2026,1,Laurie Canter,840,49,9,1,267.8,188.0,244.85,171.93,Fairway,OFW,,,False,DetailedLie,,2026-09-17T06:17:29.000Z,False,False,666276.0635980049,5695681.420270693,81
bmw-pga-championship-2026,1,Laurie Canter,840,49,9,2,190.4,13.6,174.11,12.42,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-17T06:23:15.000Z,False,False,666109.8661421357,5695734.453954299,85
bmw-pga-championship-2026,1,Laurie Canter,840,49,9,3,13.7,0.1,12.49,0.09,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T06:58:58.000Z,False,False,666108.7010137613,5695722.0264730025,89
bmw-pga-championship-2026,1,Laurie Canter,840,49,9,4,0.1,,0.09,,,,,,True,BallHoled,Par,2026-09-17T06:26:06.000Z,False,False,666108.6468808318,5695722.094165607,92
bmw-pga-championship-2026,1,Laurie Canter,840,49,10,1,176.6,1.1,161.53,0.98,Green,OGR,,OBU,False,DetailedLie,,2026-09-17T06:30:17.000Z,False,False,666182.972898009,5695805.391016158,27
bmw-pga-championship-2026,1,Laurie Canter,840,49,10,2,1.1,,0.98,,,,,,True,BallHoled,Birdie,2026-09-17T06:36:16.000Z,False,False,666181.3189541544,5695806.536919699,30
bmw-pga-championship-2026,1,Laurie Canter,840,49,11,1,277.7,145.3,253.96,132.88,,ORO,,,False,DetailedLie,,2026-09-17T06:44:14.000Z,False,False,666325.8076797728,5696027.207636594,36
bmw-pga-championship-2026,1,Laurie Canter,840,49,11,2,151.4,12.1,138.45,11.08,Green,OGR,,ORO,False,DetailedLie,,2026-09-17T06:49:15.000Z,False,False,666288.5384888564,5696160.517518057,40
bmw-pga-championship-2026,1,Laurie Canter,840,49,11,3,12.0,0.2,11.01,0.17,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T06:50:31.000Z,False,False,666281.2313644898,5696152.264930287,44
bmw-pga-championship-2026,1,Laurie Canter,840,49,11,4,0.2,,0.17,,,,,,True,BallHoled,Par,2026-09-17T06:52:46.000Z,False,False,666281.0713158238,5696152.316626566,47
bmw-pga-championship-2026,1,Laurie Canter,840,49,12,1,302.1,212.5,276.21,194.32,Fairway,OFW,,,False,DetailedLie,,2026-09-17T07:00:00.000Z,False,False,666000.9915994334,5696246.160390935,73
bmw-pga-championship-2026,1,Laurie Canter,840,49,12,2,191.7,21.0,175.31,19.2,Fairway,OFW,,,False,DetailedLie,,2026-09-17T07:05:25.000Z,False,False,665837.0073101885,5696183.193765294,97
bmw-pga-championship-2026,1,Laurie Canter,840,49,12,3,21.4,0.5,19.6,0.42,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-17T07:06:56.000Z,False,False,665817.839233343,5696178.885043813,101
bmw-pga-championship-2026,1,Laurie Canter,840,49,12,4,0.5,,0.42,,,,,,True,BallHoled,Birdie,2026-09-17T07:11:02.000Z,False,False,665818.204563663,5696179.086978698,104
bmw-pga-championship-2026,1,Laurie Canter,840,49,13,1,280.8,185.2,256.74,169.36,Fairway,OFW,,,False,DetailedLie,,2026-09-17T07:17:20.000Z,False,False,665953.937019252,5696355.306835904,110
bmw-pga-championship-2026,1,Laurie Canter,840,49,13,2,188.0,4.7,171.91,4.32,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-17T07:24:34.000Z,False,False,666036.3015573322,5696506.256825136,114
bmw-pga-championship-2026,1,Laurie Canter,840,49,13,3,4.8,0.2,4.35,0.14,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T07:27:29.000Z,False,False,666031.9692210811,5696505.770514927,118
bmw-pga-championship-2026,1,Laurie Canter,840,49,13,4,0.2,,0.14,,,,,,True,BallHoled,Par,2026-09-17T07:27:39.000Z,False,False,666032.0193047605,5696505.641008908,121
bmw-pga-championship-2026,1,Laurie Canter,840,49,14,1,178.3,1.4,163.0,1.26,Green,OGR,,OBU,False,DetailedLie,,2026-09-17T07:32:18.000Z,False,False,666157.5377415607,5696654.846132471,157
bmw-pga-championship-2026,1,Laurie Canter,840,49,14,2,1.5,0.3,1.37,0.26,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T07:36:25.000Z,False,False,666157.3826143615,5696656.203218181,161
bmw-pga-championship-2026,1,Laurie Canter,840,49,14,3,0.3,,0.26,,,,,,True,BallHoled,Par,2026-09-17T07:36:29.000Z,False,False,666157.6244028842,5696656.100406072,164
bmw-pga-championship-2026,1,Laurie Canter,840,49,15,1,311.9,180.3,285.22,164.89,,ODO,,,False,DetailedLie,,2026-09-17T07:43:14.000Z,False,False,666398.2954308186,5696845.86184261,170
bmw-pga-championship-2026,1,Laurie Canter,840,49,15,2,,180.3,,164.84,,ORO,,,False,Penalty,,2026-09-17T07:43:47.000Z,False,True,666397.9298146414,5696846.335054583,172
bmw-pga-championship-2026,1,Laurie Canter,840,49,15,3,175.6,17.1,160.55,15.67,Green,OGR,,ORO,False,DetailedLie,,2026-09-17T07:48:42.000Z,False,False,666525.0037963218,5696944.818568847,176
bmw-pga-championship-2026,1,Laurie Canter,840,49,15,4,17.3,0.2,15.81,0.15,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-17T07:49:57.000Z,False,False,666518.3605580082,5696959.165314627,180
bmw-pga-championship-2026,1,Laurie Canter,840,49,15,5,0.2,,0.15,,,,,,True,BallHoled,Bogey,2026-09-17T07:50:16.000Z,False,False,666518.4529245328,5696959.051407026,183
bmw-pga-championship-2026,1,Laurie Canter,840,49,16,1,228.5,143.6,208.96,131.32,Fairway,OFW,,,False,DetailedLie,,2026-09-17T07:55:42.000Z,False,False,666629.7210418045,5697091.686592456,189
bmw-pga-championship-2026,1,Laurie Canter,840,49,16,2,135.1,31.6,123.52,28.89,,ORO,,,False,DetailedLie,,2026-09-17T08:00:47.000Z,True,False,666731.8776387552,5697161.446455007,193
